,training_noun_phrases,skill_set_bool
13849,macro,0
13850,training,0
13851,macrosclear customer focusstrong enthusiastic team player,0
13852,fantastic opportunity,0
13853,local company,0
13854,excellent training,0
13855,good career path,0
13856,human story,0
13857,clarity,0
13858,blank page,0
13859,broad range,0
13860,analytical technique,0
13861,approach,0
13862,solution,0
13863,pattern,0
13864,data,1
13865,bread,0
13866,butter,0
13867,driver analysis,1
13868,ideal candidate,0
13869,ability,0
13870,skill,0
13871,mutivariate analytics,0
13872,statistic,0
13873,python,1
13874,spss data modelling,1
13875,predictive analytics,0
13876,someone,0
13877,personal development,1
13878,hasson associate,0
13879,application,0
13880,everyone,0
13881,potential,0
13882,role,0
13883,client data analyst,1
13884,month temp contract paye,0
13885,bilingual data analyst expert,1
13886,exposure,0
13887,similar environment,0
13888,global investment bank,0
13889,value,0
13890,operation overview operation,0
13891,business,0
13892,end,0
13893,almost major step,0
13894,collaboration,0
13895,counterpart,0
13896,area,0
13897,line,0
13898,technology,0
13899,efficient process,0
13900,people,0
13901,firstclass business,0
13902,improvement,0
13903,respected financial institution,0
13904,world,0
13905,team,0
13906,client maintenance team,0
13907,highly dedicated individual,0
13908,client,0
13909,ongoing support,0
13910,knowledgeable resource,0
13911,entire private bank,0
13912,fastpaced environment,0
13913,liaise,0
13914,main responsibility,0
13915,client documentation,1
13916,house,0
13917,system,0
13918,willingness,0
13919,ideal candidate,0
13920,attention,0
13921,detail,0
13922,result,0
13923,duty,0
13924,ability,0
13925,client documentation,1
13926,house,0
13927,query,0
13928,system,0
13929,client information qualification,0
13930,bachelor degree,0
13931,business administration,0
13932,finance,0
13933,equivalent work experiencefluent,0
13934,european language,1
13935,problem,0
13936,skillsdetail,0
13937,orientedexcellent time management,1
13938,organizational skillsability,0
13939,strong partnership,0
13940,key stakeholder,0
13941,management,1
13942,colleaguesenthusiastic,0
13943,pressure,0
13944,personal accountabilityclient service,0
13945,global trade gt team,0
13946,custom operation,0
13947,effective efficient compliant manner,0
13948,digitalit solution,0
13949,export,0
13950,direct support,0
13951,supervisormanager,0
13952,advanced practical knowledge,1
13953,tool,1
13954,platform,0
13955,understanding,0
13956,import,0
13957,export process,0
13958,regime,0
13959,duty,0
13960,responsibility,0
13961,custom digital enhancement project,0
13962,global trade team,0
13963,custom,0
13964,method,0
13965,retrieval,0
13966,data,1
13967,support,0
13968,preparation,0
13969,access,0
13970,wider business external body,0
13971,custom clearance,0
13972,internal function,0
13973,business partner,0
13974,agent,0
13975,issue custom clearance instruction,0
13976,respect,0
13977,imported good,0
13978,custom entry document,0
13979,c,1
13980,e,0
13981,good,0
13982,instruction,0
13983,company system,0
13984,sapgtsxclass,0
13985,information,0
13986,support,0
13987,wider custom operation,0
13988,global trade compliance culture,0
13989,attend,0
13990,global trade training,0
13991,expert ability,0
13992,complex lookup,0
13993,databasesexperience,0
13994,sapgts,0
13995,mrperp platform,0
13996,desirabledemonstrable experience,0
13997,freight forwarding,0
13998,analytic role,0
13999,logisticsinternational supply chain,0
14000,good planning,0
14001,reporting,1
14002,issue,0
14003,clarity,0
14004,good problem,0
14005,skill,0
14006,adecco,0
14007,employment agency,0
14008,permanent recruitment,0
14009,employment business,0
14010,supply,0
14011,adecco group uk,0
14012,ireland,0
14013,equal opportunity employer,0
14014,role,0
14015,detail,0
14016,browser httpscandidateprivacy,0
14017,fantastic opportunity,0
14018,similar numeric graduate,0
14019,exciting career,0
14020,data analysis,1
14021,small team,0
14022,utility industry,0
14023,data analyst,1
14024,data analyst role,1
14025,thriving energy community,0
14026,first step,0
14027,graduate,0
14028,good degree,0
14029,enquiring mind,0
14030,data analyst,1
14031,job,0
14032,key responsibility,0
14033,data,1
14034,analysisdaily data checksensuring data,1
14035,clientsidentify issue,0
14036,dataanalyse fault,0
14037,theseeffective communication,1
14038,clientsability,0
14039,standard,0
14040,pressure,0
14041,strict deadlinesability,0
14042,time,0
14043,effectivelyprocessing information,0
14044,systemsproviding,0
14045,time,0
14046,skill,0
14047,experience,0
14048,mathematics,0
14049,statisticsor similar numeric degreemust,0
14050,email userskilled user,0
14051,database,1
14052,spreadsheet analysis,1
14053,utility industry,0
14054,home based data reporting analyst,1
14055,role,0
14056,working,0
14057,company,0
14058,two uk office,0
14059,london,0
14060,birmingham,0
14061,candidate,0
14062,salary,0
14063,bonus,0
14064,day annual leave,0
14065,fantastic opportunity,0
14066,large global firm,0
14067,day,0
14068,duty,0
14069,insurance team,0
14070,underwriting,0
14071,claim,0
14072,actuary,0
14073,requirement,0
14074,business interface,0
14075,data request effective reporting,1
14076,regulatory report,1
14077,gap analysis building dashboard,1
14078,following skill,0
14079,experience,0
14080,ideally experience,0
14081,insurance sector,0
14082,data mi reporting excel,1
14083,power bi,1
14084,qlikview experience,1
14085,quality data visualisation,1
14086,home based data reporting analyst,1
14087,global insurance company,0
14088,experienced data reporting analyst,1
14089,team,0
14090,working,0
14091,birmingham,0
14092,salary,0
14093,offer,0
14094,bonus,0
14095,day annual leave,0
14096,many benefit,0
14097,fantastic opportunity,0
14098,passionate data reporting person,1
14099,insurance team,0
14100,area,0
14101,claim,0
14102,finance,0
14103,actuary,0
14104,data reporting requirement business analysis,1
14105,requirement,0
14106,gathering driving data quality,1
14107,best practice supporting data project,1
14108,data request effective reporting,1
14109,data quality,1
14110,regulatory report,1
14111,gap analysis building dashboard,1
14112,experience,0
14113,strong data business analysis background,1
14114,ideally experience,0
14115,insurance sector,0
14116,ability,0
14117,power bi,1
14118,qlikview experience,1
14119,ability,0
14120,medium data analyst,1
14121,amazing company,0
14122,strength,0
14123,incredible brand name,0
14124,growing medium science team,1
14125,performance,1
14126,client,0
14127,business need,0
14128,analytics strategy,0
14129,day,0
14130,web analytics data,1
14131,medium data,1
14132,growth opportunity,0
14133,solution,0
14134,client marketing channel,0
14135,data,1
14136,positive change,0
14137,variety,0
14138,prospective customer,0
14139,marketing,0
14140,crosschannel strategy,0
14141,task,0
14142,data,1
14143,insight,1
14144,marketing campaign,0
14145,passionate,0
14146,following skill,0
14147,good experience,0
14148,sql,1
14149,rexperience,0
14150,google analytics,0
14151,adobe analytics,0
14152,previous analytical roleexcellent communication skill,1
14153,google marketing platform,0
14154,google ad,0
14155,campaign manager,0
14156,statistic,0
14157,attribution,0
14158,regression,0
14159,experience,0
14160,tableau,1
14161,datorama,0
14162,bi visualisation tool,1
14163,idea,0
14164,best practice,0
14165,exposure,0
14166,training,0
14167,variety,0
14168,tool,1
14169,access,0
14170,course,0
14171,career,0
14172,employment agency,0
14173,applicant,0
14174,three five working day,0
14175,touch,0
14176,category data analyst stevenage,1
14177,fulltime,0
14178,wellestablished successful business,0
14179,stevenage,0
14180,category data analyst,1
14181,team,0
14182,fmcg background,0
14183,business related degree,0
14184,role,0
14185,key attribute,0
14186,legacy data input,1
14187,store check intelligence,0
14188,data,1
14189,entry,0
14190,epos data,1
14191,source iri kantar,0
14192,marketing intelligence,0
14193,category change,0
14194,store visit,0
14195,specific customersjoint responsibility,0
14196,category commercial npd meetingsupdate,0
14197,legacy system,0
14198,product,0
14199,conjunction,0
14200,organised,0
14201,minimal supervision,0
14202,flexible mindseteffective communicatorproven analytical skill,0
14203,knowledge,1
14204,sale,0
14205,marketing,0
14206,someone,0
14207,second role,0
14208,category management,1
14209,year,0
14210,prestige office,0
14211,fulltime role,0
14212,day,0
14213,role,0
14214,requirement,0
14215,sql database environment,1
14216,core central reporting data analysis report,1
14217,business information system,0
14218,powerbi,1
14219,minimum,0
14220,year experience,0
14221,similar role,0
14222,sql serverintegration service,1
14223,sql server reporting service,1
14224,ssrs,1
14225,developing solution,0
14226,powerbi,1
14227,experience,0
14228,data migration,1
14229,benefit,0
14230,basic salary,0
14231,bank holiday,0
14232,company,0
14233,jobsearch,0
14234,job level,0
14235,entry level,0
14236,quarter office location,0
14237,tower hill central london,0
14238,various fortune company,0
14239,red bull,0
14240,barclays,0
14241,software cloud hosted service organization,1
14242,mobile apps,0
14243,service company,0
14244,student mentality,0
14245,love,0
14246,individual,0
14247,box,0
14248,data engineering task,1
14249,python,1
14250,ideal candidate,0
14251,role,0
14252,knack,0
14253,math,0
14254,team player,0
14255,passion,0
14256,machinelearning,0
14257,research,0
14258,technical skill,0
14259,nontech stakeholder,0
14260,position,0
14261,computer science,1
14262,statistic,0
14263,mathematics,0
14264,data analyst,1
14265,data scientist,1
14266,research assistant,0
14267,data engineering,1
14268,big data,1
14269,machine learning engineer,1
14270,python developer,1
14271,data analytics,1
14272,big data proficient,1
14273,python,1
14274,also exp,0
14275,functionalobjectoriented programming,1
14276,candidate,0
14277,data analytics,1
14278,objective,0
14279,milestone,0
14280,resourcetechnology requirement,0
14281,projectspeopleclients,0
14282,ability,0
14283,multiple engagement,0
14284,client,0
14285,need,0
14286,availability,0
14287,europe,0
14288,company,0
14289,travelhousing expense,0
14290,employer,0
14291,choice,0
14292,hatfield,0
14293,finance analyst,0
14294,large volume,0
14295,month end process,0
14296,opportunity,0
14297,permanent role,0
14298,wider finance team,0
14299,main duty,0
14300,finance data analyst,1
14301,journalsmanipulate large volume,0
14302,financial data,1
14303,excel analysing,1
14304,stakeholder,0
14305,month,0
14306,close experiencehave strong excel skill,1
14307,role,0
14308,fixed term contract,0
14309,end,0
14310,position,0
14311,key location,0
14312,site,0
14313,trafford park,0
14314,warrington,0
14315,central belt,0
14316,scotland,0
14317,data migration business analyst,1
14318,subject matter expert,0
14319,data migration requirement,1
14320,data migration business analyst,1
14321,data migration plan,1
14322,migration risk,0
14323,milestone,0
14324,quality business signoff detail,0
14325,functional project,0
14326,implication,0
14327,data migration,1
14328,experience,0
14329,role,0
14330,data,1
14331,analyst position,0
14332,strong ability,0
14333,information,0
14334,systematic manner,0
14335,problem,0
14336,solution,0
14337,good attention,0
14338,detail,0
14339,confidence,0
14340,remedial action,0
14341,thorough understanding,0
14342,different data structure format,1
14343,exporting data,1
14344,various source,0
14345,good communicator,0
14346,level,0
14347,benefit,0
14348,certas,0
14349,fuel,0
14350,lubricant,0
14351,fuel,0
14352,lubricant,0
14353,uk,0
14354,national network,0
14355,depot,0
14356,site,0
14357,colleague,0
14358,business,0
14359,team,0
14360,essential part,0
14361,billion,0
14362,highquality fuel,0
14363,associated service,0
14364,range,0
14365,industry leading solution,0
14366,liquid fuel,0
14367,world,0
14368,zero emission future,0
14369,nox,0
14370,certas energy,0
14371,energy expertise count,0
14372,customer,0
14373,strong culture,0
14374,right thing initiative,0
14375,many programme,0
14376,learning,1
14377,development,1
14378,colleague,0
14379,good business performance,1
14380,longterm business success,0
14381,successful candidate,0
14382,certas energy term,0
14383,condition,0
14384,employment,0
14385,certas energy ltd,0
14386,senior data analyst,1
14387,remote basis,0
14388,great opportunity,0
14389,senior data analyst,1
14390,greenfield project,0
14391,key data project,1
14392,report,1
14393,important business data,1
14394,easily digestible report,1
14395,strategic business decision,1
14396,point,0
14397,contact,0
14398,team,0
14399,internal stakeholder,0
14400,several business unit,0
14401,company,0
14402,senior data analyst,1
14403,leading company,0
14404,forefront,0
14405,dynamic workplace,0
14406,great training progression opportunity,0
14407,day,0
14408,life insurance,0
14409,private healthcare,0
14410,senior data analyst,1
14411,insight,1
14412,data visualisation,1
14413,bi system,1
14414,decision tree analysis,1
14415,logistical regression,0
14416,senior data analyst,1
14417,senior data analyst,1
14418,remote corriculo ltd,0
14419,employment agency,0
14420,hammonds,0
14421,tailored storage,0
14422,family,0
14423,beautiful furniture,0
14424,year,0
14425,space,0
14426,wellordered home,0
14427,unique opportunity,0
14428,talented individual,0
14429,operational planning role,0
14430,apprentice,0
14431,valuable handson experience,0
14432,industry standard qualification,0
14433,support,0
14434,apprentice,0
14435,successful career,0
14436,apprentice production planning data analyst position,1
14437,ideal role,0
14438,someone,0
14439,passion,0
14440,thing,0
14441,experiencequalifications,0
14442,key aspect,0
14443,apprentice production planning data analyst role,1
14444,automating,0
14445,analysis,1
14446,presentation,1
14447,communication,1
14448,data provision,1
14449,project team,0
14450,specify requirement,0
14451,develop liaise,0
14452,efficiency,0
14453,apprentice production planning data analyst,1
14454,math science level,1
14455,m excel access capability,1
14456,formulaschartingvisual basicodbc,0
14457,ability,0
14458,data,1
14459,teamwork skill,1
14460,great communication skill,1
14461,following personal quality,0
14462,logical approach good accuracy,0
14463,attention,0
14464,detail,0
14465,long period,0
14466,time ability,0
14467,deadline,0
14468,following benefit,0
14469,site,0
14470,site,0
14471,line,0
14472,payslip,0
14473,data technician apprenticeship,1
14474,coventry,0
14475,nuneaton,0
14476,global client,0
14477,data analyst,1
14478,temporary basis,0
14479,december,0
14480,data analyst,1
14481,candidate,0
14482,cleansing,1
14483,data,1
14484,purpose,0
14485,understanding,0
14486,conclusion,0
14487,chart,0
14488,table,1
14489,data,1
14490,hourly rate pf,0
14491,hour,0
14492,experience,0
14493,responsibility,0
14494,capture,0
14495,bespoke customer report,1
14496,house systemsacquire data,1
14497,primary secondary data source,1
14498,team,0
14499,team,0
14500,analytical skill,0
14501,ability,0
14502,accuracyknowledge,0
14503,statistical package,0
14504,analysis,1
14505,excelexperience,0
14506,oracleexperience,0
14507,data model,1
14508,troubleshooting,0
14509,problem,0
14510,catastrophe modelling data analyst contract,1
14511,role,0
14512,successful candidate,0
14513,lead role,0
14514,embedding,0
14515,new catastrophe modelling software,1
14516,catastrophe model validation program,0
14517,climate,0
14518,pricing underwriting function,0
14519,requirement,0
14520,rms catastrophe modelling,1
14521,ideally r,1
14522,sa,0
14523,request,0
14524,mcgregor boyall,0
14525,equal opportunity employer,0
14526,ground,0
14527,senior data analyst,1
14528,standard,0
14529,quality,0
14530,data,1
14531,data maturity,1
14532,aerospace engineering distribution service,0
14533,world,0
14534,experienced interim professional,0
14535,job description,0
14536,data entry standard,1
14537,site,0
14538,business,0
14539,common issue,0
14540,place,0
14541,data entry,1
14542,root,0
14543,analysis,1
14544,quality issue,0
14545,daily basisto design,0
14546,bi solution,1
14547,data query,1
14548,information,0
14549,report,1
14550,visualization,1
14551,multiple site,0
14552,requirement,0
14553,improvement,0
14554,essential skillsexperiencequalifications,0
14555,demonstrable experience,0
14556,sql,1
14557,data modelling,1
14558,operator,0
14559,knowledge,1
14560,sqlexpert,0
14561,data quality practice,1
14562,security,1
14563,privacyexperienced,0
14564,data cleanse,1
14565,processing,0
14566,record project,0
14567,data quality improvement,1
14568,aerospace engineering supply chain experience,0
14569,day,0
14570,motnhs,0
14571,remote marketing,0
14572,advertising,0
14573,company,0
14574,global medium agency,0
14575,data,1
14576,analytics,0
14577,social data analyst,1
14578,team,0
14579,next month,0
14580,team,0
14581,multiple team,0
14582,marketing,0
14583,analytics,0
14584,product,0
14585,multiple division,0
14586,datadriven insight,1
14587,recommendation,0
14588,data,1
14589,key social platform,0
14590,internal data management tool,1
14591,informative clear insight,1
14592,findingssupport new business pr effort,0
14593,pitchesset measurement objective,0
14594,line,0
14595,performance marketing brand team,1
14596,ideal social data analyst,1
14597,stakeholder management,1
14598,vitalexperience,0
14599,gwi,0
14600,tgi,0
14601,adobe analyticsexperience,0
14602,social analyticslistening tool,1
14603,recommendation,0
14604,external clientsexperience,0
14605,ageny,0
14606,cv,0
14607,apply button,0
14608,zavina johnson,0
14609,newcastle,0
14610,tyne,0
14611,bustling hub,0
14612,parkdean resort,0
14613,exciting place,0
14614,house,0
14615,essential supporting function,0
14616,holiday park,0
14617,award,0
14618,contact centre,0
14619,modern office,0
14620,mix,0
14621,one unified team,0
14622,parkdean resort objective,0
14623,centre,0
14624,newcastle,0
14625,great transport link,0
14626,commercial operational reporting,1
14627,analysis,1
14628,key booking trend,0
14629,performance,1
14630,kpi measurement,0
14631,opportunity,0
14632,key stakeholder,0
14633,job description,0
14634,reporting process,1
14635,contact centre,0
14636,data,1
14637,timely consistent manner,0
14638,reporting schedule,1
14639,need,0
14640,varying need,0
14641,business,0
14642,department,0
14643,key performance trend,1
14644,commercial reporting discipline,1
14645,reporting quality,1
14646,line,0
14647,company standard,0
14648,internal system development team,1
14649,system application,0
14650,telephony management system,1
14651,development,1
14652,implementation,0
14653,internal key stakeholder,0
14654,performance trend,1
14655,analytics,0
14656,person specification,0
14657,exceptional excel,1
14658,experience,0
14659,multiple system platform,0
14660,ability,0
14661,mi,0
14662,strong understanding,0
14663,sale,0
14664,service kpi,0
14665,high focus,0
14666,data analytics,1
14667,multiple stakeholder,0
14668,ability,0
14669,agility,0
14670,key business requirement,0
14671,operational hour,0
14672,pay,0
14673,fantastic team environment,0
14674,discount,0
14675,friend,0
14676,family,0
14677,full training,0
14678,amazing memory,0
14679,u,0
14680,data quality analyst,1
14681,client,0
14682,london stock exchange,0
14683,uk,0
14684,leading wealth management organisation,1
14685,data quality analyst,1
14686,thing,0
14687,data,1
14688,great opportunity,0
14689,career,0
14690,role,0
14691,data governance framework,1
14692,regulatory statuary obligation,0
14693,quality,0
14694,integrity,0
14695,tactical strategic perspective,0
14696,firm,0
14697,value,0
14698,data,1
14699,role responsibility,0
14700,advocate,0
14701,champion good data governance,1
14702,wider business,0
14703,troubleshoot quality issue,0
14704,categorisation,0
14705,implementation,0
14706,data quality metric,1
14707,rule,0
14708,data quality,1
14709,continuous improvement mindset,0
14710,data integrity,1
14711,reconciliation,0
14712,exception,0
14713,implementation,0
14714,policy,0
14715,procedure,0
14716,strategy,0
14717,root,0
14718,data corruption,1
14719,master data,1
14720,golden source,0
14721,truth,0
14722,enterprise architecture team,0
14723,data flow,1
14724,integration point,1
14725,user journey,0
14726,effective data governance,1
14727,ownership,0
14728,key stakeholder,0
14729,system design,0
14730,definition,0
14731,operating system,0
14732,database,1
14733,application,0
14734,sharepoint,0
14735,microsoft office suite,1
14736,especially excel,1
14737,m dynamic,0
14738,ibm powercloud,0
14739,sqldb,1
14740,etl,1
14741,scripting language,1
14742,data visualisation tool,1
14743,tableau,1
14744,power bi,1
14745,cloudbased service,0
14746,understanding,0
14747,database design,1
14748,erds,0
14749,relational database management system,1
14750,logical data model,1
14751,data dictionary,1
14752,ssis,1
14753,ssa,0
14754,software development lifecycle,1
14755,familiarity,0
14756,data streaming technology,1
14757,attention,0
14758,detail,0
14759,large data set,1
14760,statistical analytical tool,1
14761,package,0
14762,solid understanding,0
14763,information analysis,1
14764,reporting,1
14765,technique,0
14766,bachelor degree,0
14767,statistic,0
14768,mathematics,0
14769,computer science,1
14770,information management,1
14771,experience,0
14772,big data,1
14773,data layerswarehouseslakes,1
14774,data governancequality role,1
14775,practical knowledge,1
14776,key data privacy legislation,1
14777,gdpr,0
14778,volume,0
14779,application,0
14780,applicant,0
14781,interview,0
14782,proactive appointment limited,0
14783,employment agency,0
14784,obligation,0
14785,personal data,1
14786,privacy notice,0
14787,copy,0
14788,website,0
14789,order,0
14790,application,0
14791,aqa,0
14792,people,0
14793,largest provider,0
14794,academic qualification,0
14795,uk,0
14796,seven million gcse,0
14797,alevels,0
14798,people,0
14799,market data analyst,1
14800,wider aqa team,0
14801,collection,0
14802,production,0
14803,interpretation,0
14804,reporting,1
14805,data,1
14806,retrospective analysis,1
14807,portfolio performance analyst,1
14808,quality,0
14809,data,1
14810,use,0
14811,organisation,0
14812,role,0
14813,interpret,0
14814,wide ranging suite,0
14815,monitoring,0
14816,source,0
14817,reporting approach,1
14818,growth retention opportunity,0
14819,optimised allocation,0
14820,product management,1
14821,market strategy,0
14822,current potential customer purchasing behaviour,0
14823,colleague,0
14824,business,0
14825,appropriate use,0
14826,data,1
14827,business intelligence,0
14828,date,0
14829,aqa,0
14830,legislative requirement,0
14831,hse,0
14832,equal opportunity,0
14833,wider business,0
14834,world class service ambition,0
14835,available range,0
14836,digital tool,1
14837,reporting,1
14838,order,0
14839,digital skill,0
14840,aqa security policy,1
14841,ability,0
14842,statistical data,1
14843,continuous improvement,0
14844,quality management principle,1
14845,practicean ability,0
14846,complex information,0
14847,straightforward waygood report,1
14848,skillsan ability,0
14849,willingness,0
14850,thinking,0
14851,othersability,0
14852,decision makinganalytics software experience benefit,1
14853,aqa,0
14854,return,0
14855,benefit package,0
14856,day annual leave,0
14857,day,0
14858,leave hour,0
14859,employee assistance programme,0
14860,support,0
14861,counselling,0
14862,legal advice,0
14863,space,0
14864,modern learning management system,1
14865,schemeinterest free travel loan,0
14866,aqa job portal,0
14867,closing date,0
14868,midnight,0
14869,thursday,0
14870,suitable candidate,0
14871,advert,0
14872,zoom video interview,0
14873,aqa,0
14874,equal opportunity employer,0
14875,application,0
14876,section,0
14877,community,0
14878,expression,0
14879,sexual orientation,0
14880,age,0
14881,citizenship,0
14882,people,0
14883,aqa,0
14884,safeguarding,0
14885,child,0
14886,adult,0
14887,risk,0
14888,risk,0
14889,trust,0
14890,alleged abuse,0
14891,associate,0
14892,information,0
14893,aqa,0
14894,aqa website,0
14895,employer,0
14896,balance,0
14897,office,0
14898,recruitment agency,0
14899,psl,0
14900,gift,0
14901,condition,0
14902,agency fee,0
14903,aqa aqa,0
14904,independent education charity,0
14905,largest provider,0
14906,academic qualification,0
14907,gcse,0
14908,alevels,0
14909,summer,0
14910,million qualification,0
14911,century,0
14912,people,0
14913,six location,0
14914,around teacher,0
14915,lecturer,0
14916,subject expert,0
14917,exam,0
14918,week,0
14919,experience,0
14920,successful growing client,0
14921,performance data analyst,1
14922,business,0
14923,critical one,0
14924,customer trend,0
14925,internal data,1
14926,information,0
14927,report,1
14928,business,0
14929,customer,0
14930,service delivery,1
14931,responsibility,0
14932,running report,1
14933,crm system,1
14934,client solution,0
14935,excel,1
14936,report,1
14937,information,0
14938,data accuracygenerate weekly,1
14939,monthly analysis,1
14940,customer,0
14941,highlighting issue,0
14942,monthly job,0
14943,key internal external stakeholderswork,0
14944,management,1
14945,dashboard performance report,1
14946,requiredreport,0
14947,client kpis,0
14948,slasvalidate client kpi reportingsupport local management team,1
14949,work management,1
14950,work meeting,0
14951,outstanding attention,0
14952,detailexcellent interpersonal skillsproven experience,0
14953,large datasets,1
14954,m excel,1
14955,someone,0
14956,environmentawareness,0
14957,customer satisfaction,0
14958,internal external sourceswillingness ability,0
14959,skillsgood operational knowledge,1
14960,work management system,1
14961,power bi,1
14962,conjunction,0
14963,sql database,1
14964,desirableexperience,0
14965,adecco,0
14966,employment agency,0
14967,supply,0
14968,temporary worker,0
14969,equal opportunity employer,0
14970,adecco,0
14971,candidate privacy information statement,0
14972,role,0
14973,supplier data analyst,1
14974,month ftc,0
14975,warwick,0
14976,main purpose,0
14977,role,0
14978,day,0
14979,administration,0
14980,analytical requirement,0
14981,team,0
14982,management,1
14983,wolseley product file,0
14984,new product creation,0
14985,meeting department kpi,0
14986,support role,0
14987,resolution,0
14988,invoice dispute,0
14989,lead supplier data analyst,1
14990,supplier,0
14991,smooth transition,0
14992,data,1
14993,supplier price change,0
14994,review,0
14995,associated promotional pack processing request,0
14996,new product introduction,0
14997,mandatory information,0
14998,supplier,0
14999,internal business unitsmanagement,0
15000,supplier,0
15001,internal team,0
15002,internal stakeholder,0
15003,microsoft package,1
15004,drivenability,0
15005,support,0
15006,internal colleague,0
15007,senior management,1
15008,sensitive data filing,1
15009,retrieval,0
15010,delegate,0
15011,benefit,0
15012,skill,0
15013,career,0
15014,u,0
15015,induction,0
15016,business,0
15017,relevant training,0
15018,development,1
15019,people,0
15020,year,0
15021,hundred,0
15022,retailerscycle,0
15023,scheme,0
15024,first choice specialist merchant,0
15025,u,0
15026,part,0
15027,team,0
15028,right product,0
15029,customer,0
15030,right price,0
15031,awardwinning pension,0
15032,great reward package,0
15033,part,0
15034,world,0
15035,access,0
15036,career opportunity,0
15037,spencer clarke group,0
15038,enfield council,0
15039,asset data analyst,1
15040,team,0
15041,salary per annum role enfield council,0
15042,housing stock,0
15043,approximately home,0
15044,growing programme,0
15045,major work,0
15046,ambitious development programme,1
15047,thousand,0
15048,day,0
15049,day repair,0
15050,asset team,0
15051,collation,0
15052,interrogation,0
15053,data management system,1
15054,council,0
15055,investment,0
15056,stock,0
15057,tenant,0
15058,leaseholder,0
15059,enterprise level software,0
15060,new package,0
15061,interrogating data,1
15062,manager,0
15063,decisionmaking process,0
15064,investment,0
15065,future year,0
15066,excellent analytical skill,0
15067,technical information,0
15068,housing staff,0
15069,housing asset management,1
15070,profiling function essential,0
15071,basic principle,0
15072,large scale business application,0
15073,tight deadline,0
15074,initiative,0
15075,part,0
15076,team,0
15077,problem,0
15078,collection,0
15079,storage,0
15080,data,1
15081,experience,0
15082,deadline,0
15083,loss,0
15084,accuracy,0
15085,need,0
15086,standard,0
15087,service,0
15088,role,0
15089,spencer clarke group,0
15090,spencer clarke group,0
15091,worker,0
15092,dedicated experience consultant,0
15093,extensive market knowledge,1
15094,temporary permanent opportunitiesmarket leading referral,0
15095,free db checkspost placement aftercareloyalty reward scheme,0
15096,agency worker,0
15097,leading employer,0
15098,brand new data strategy journey,1
15099,creation,0
15100,data governance team,1
15101,team,0
15102,perception,0
15103,data journey,1
15104,data,1
15105,element,0
15106,interrogation,0
15107,role,0
15108,sql expertise,1
15109,data environment,1
15110,fluent sql ability,1
15111,employer,0
15112,leading national organisation,0
15113,impressive array,0
15114,area,0
15115,hand,0
15116,multiple data flow,1
15117,process,0
15118,entry,0
15119,reporting,1
15120,stakeholder,0
15121,tableau,1
15122,role,0
15123,development,1
15124,interest,0
15125,expertise,0
15126,client,0
15127,highly respected digital business,0
15128,excellent career opportunity,0
15129,least year experience,0
15130,experience,0
15131,good understanding,0
15132,database,1
15133,m office tool,1
15134,sharepoint,0
15135,keen attention,0
15136,detail,0
15137,numericalstatisticallogical aptitude,0
15138,eg power bi,1
15139,domo,0
15140,marketing automation tool,1
15141,eg eloqua,0
15142,similar experience,0
15143,crm system,1
15144,eg salesforce,1
15145,oracle,0
15146,demand,0
15147,marketing environment,0
15148,regular adhoc report,1
15149,excel bi reporting tool,1
15150,various data task,1
15151,data cleaning,1
15152,manipulation,0
15153,marketing campaign,0
15154,client,0
15155,data related project,1
15156,client service,0
15157,member,0
15158,professional service team,0
15159,hybrid agency,0
15160,bestpractice consulting,0
15161,system integration,1
15162,marketing,0
15163,sale,0
15164,business leader,0
15165,investment,0
15166,technology,0
15167,marketing effectiveness,0
15168,efficiency,0
15169,candidate,0
15170,mix,0
15171,office,0
15172,home working,0
15173,return,0
15174,somebody,0
15175,least year,0
15176,salary,0
15177,experience,0
15178,interest,0
15179,similar role,0
15180,call,0
15181,swindon,0
15182,ir,0
15183,job,0
15184,company asap,0
15185,someone,0
15186,data warehousing,1
15187,business user,0
15188,requirement,0
15189,define solution,0
15190,existing architecture,0
15191,hand,0
15192,ability,0
15193,solution,0
15194,coach,0
15195,foot,0
15196,experience,0
15197,data solutionsexperience,1
15198,data,1
15199,data software,1
15200,data solution,1
15201,demonstratable experience,0
15202,level,0
15203,track record,0
15204,process,0
15205,attention,0
15206,detail,0
15207,accuracy,0
15208,team,0
15209,experience,0
15210,process map,0
15211,policy,0
15212,database,1
15213,graph,0
15214,key information document,0
15215,document,0
15216,assignment,0
15217,key information document,0
15218,vendor,0
15219,placement,0
15220,computer future,0
15221,wwwcomputerfuturescom computer future,0
15222,sthree partnership llp,0
15223,employment business,0
15224,vacancy,0
15225,united kingdom partnership number,0
15226,dataanalyst,0
15227,audience,0
15228,content,0
15229,seo,0
15230,salary,0
15231,kk doe,0
15232,uk,0
15233,monthly onlinevisitors,0
15234,newsquest,0
15235,investment,0
15236,digital journalist,0
15237,audience,0
15238,search,0
15239,part,0
15240,analytics team,0
15241,product,0
15242,decision,1
15243,newsquest,0
15244,aspect,0
15245,particular focus,0
15246,seo audience acquisition,0
15247,newly formed seo team,0
15248,content decisionsto life,0
15249,deepdive data analysis,1
15250,right time,0
15251,role,0
15252,hand,0
15253,day,0
15254,colleague,0
15255,commercial,0
15256,reporting,1
15257,opportunity,0
15258,aspect,0
15259,role,0
